merchant_id,home_city,avg_txns_per_day,avg_amount,amount_std
M001,Delhi,23,2302.186349351549,160.2013342115643
M002,Bangalore,33,2127.0886160418604,451.48080546718046
M003,Delhi,95,1439.18891315023,63.40874874713165
M004,Chennai,49,1664.4592778790784,61.94118635773863
M005,Chennai,89,1432.7035165964785,252.1440708277341
M006,Hyderabad,20,2348.7798912503717,121.84669236960056
M007,Kolkata,63,1050.252622513433,146.89119294841495
M008,Pune,33,550.4137771263993,93.5223695750588
M009,Pune,97,1014.2063414994353,69.55269931539374
M010,Ahmedabad,88,637.0306397036652,465.03291741267196
M011,Delhi,90,1091.581359799151,332.88790977249954
M012,Pune,93,819.1791936929817,81.29981697068341
M013,Chennai,57,2960.098105784046,434.8929744568161
M014,Delhi,68,1050.5287283972489,336.0579999189801
M015,Pune,40,1299.4886112155832,144.27816384716948
M016,Hyderabad,29,1944.653715300868,127.01239168914364
M017,Chennai,40,1548.1025719980125,171.47652205292508
M018,Jaipur,48,2148.4584776726615,429.2833640854143
M019,Mumbai,49,2518.8670038183823,412.27061034704644
M020,Kolkata,54,478.70923407117755,460.91125588349524
