transaction_id,merchant_id,timestamp,amount,customer_id,payment_method,city,is_fraud_spike
ddb532e9,M012,2026-07-01 00:00:42,775.3,C00730,card,Pune,0
9544989d,M004,2026-07-01 00:03:30,1704.81,C03291,wallet,Chennai,0
7ead1ed7,M017,2026-07-01 00:04:24,1653.31,C02223,netbanking,Chennai,0
9c6306a9,M019,2026-07-01 00:04:30,2643.63,C00925,netbanking,Mumbai,0
d5692ae9,M001,2026-07-01 00:04:45,2536.99,C00483,upi,Mumbai,0
37fc60ac,M007,2026-07-01 00:05:02,1003.04,C04725,netbanking,Kolkata,0
72ca4d59,M005,2026-07-01 00:05:47,1268.41,C04346,upi,Chennai,0
0cd3448e,M019,2026-07-01 00:07:01,2489.35,C03809,card,Mumbai,0
f8b6d36f,M010,2026-07-01 00:07:59,883.41,C01295,wallet,Ahmedabad,0
138779e2,M011,2026-07-01 00:13:10,1707.08,C02391,card,Delhi,0
c44912b4,M019,2026-07-01 00:13:36,2930.32,C02718,netbanking,Bangalore,0
764d0da2,M009,2026-07-01 00:15:13,1018.9,C00552,card,Pune,0
f900cd9f,M010,2026-07-01 00:16:13,485.42,C00327,card,Ahmedabad,0
0055def4,M009,2026-07-01 00:18:26,1128.62,C03177,card,Pune,0
2d036a6e,M017,2026-07-01 00:18:55,1372.72,C03167,upi,Chennai,0
8af27af2,M003,2026-07-01 00:19:18,1462.1,C01722,wallet,Delhi,0
bcdc0b63,M009,2026-07-01 00:19:29,1122.09,C04461,wallet,Pune,0
04589575,M005,2026-07-01 00:20:10,1312.95,C03770,netbanking,Delhi,0
8a019eed,M011,2026-07-01 00:21:52,1506.39,C02483,netbanking,Delhi,0
2f27a6da,M006,2026-07-01 00:22:50,2447.82,C00554,netbanking,Hyderabad,0
cea6c877,M007,2026-07-01 00:23:21,1275.4,C00898,wallet,Kolkata,0
580ad384,M007,2026-07-01 00:23:35,1220.37,C04689,netbanking,Kolkata,0
8f70fb58,M012,2026-07-01 00:24:09,869.73,C00435,card,Pune,0
72869c13,M009,2026-07-01 00:30:06,1000.97,C02421,wallet,Pune,0
4e804b57,M010,2026-07-01 00:31:08,182.44,C01599,wallet,Ahmedabad,0
03e789a0,M003,2026-07-01 00:36:18,1578.08,C03846,wallet,Delhi,0
26a430d0,M014,2026-07-01 00:36:33,1146.6,C00966,card,Delhi,0
31d2fe16,M020,2026-07-01 00:39:05,912.32,C00466,upi,Kolkata,0
ab0db355,M010,2026-07-01 00:39:41,564.64,C01345,wallet,Ahmedabad,0
aabdccbd,M005,2026-07-01 00:40:32,1284.1,C04711,upi,Chennai,0
87e4bd0d,M003,2026-07-01 00:42:55,1472.28,C04445,wallet,Delhi,0
953cff40,M015,2026-07-01 00:44:24,1093.06,C02935,upi,Pune,0
b50312ba,M011,2026-07-01 00:44:36,1038.98,C03208,card,Delhi,0
b15da687,M003,2026-07-01 00:46:09,1465.36,C03359,upi,Hyderabad,0
139afe03,M007,2026-07-01 00:47:11,1031.14,C04089,wallet,Kolkata,0
84452740,M011,2026-07-01 00:50:44,854.28,C04814,wallet,Delhi,0
69ed8d0c,M012,2026-07-01 00:57:20,811.32,C04351,upi,Mumbai,0
08fb96e8,M004,2026-07-01 00:57:51,1754.49,C03812,netbanking,Chennai,0
4c55be59,M020,2026-07-01 01:00:45,398.94,C04588,netbanking,Kolkata,0
516d8f82,M004,2026-07-01 01:02:19,1673.98,C04036,card,Jaipur,0
6e75ca2d,M002,2026-07-01 01:03:37,1575.9,C03906,upi,Jaipur,0
8c4e4604,M006,2026-07-01 01:04:42,2449.35,C03328,netbanking,Hyderabad,0
327a472a,M002,2026-07-01 01:05:40,2282.23,C03470,netbanking,Pune,0
74176ce8,M019,2026-07-01 01:06:33,2877.57,C02560,card,Mumbai,0
f25e4901,M009,2026-07-01 01:08:32,996.89,C02370,upi,Pune,0
7a1a8866,M010,2026-07-01 01:10:59,58.23,C04702,wallet,Ahmedabad,0
3da82fb1,M013,2026-07-01 01:14:48,3061.96,C03995,upi,Pune,0
e3e4a73b,M003,2026-07-01 01:15:30,1491.3,C00597,wallet,Delhi,0
45d8a71e,M020,2026-07-01 01:16:52,201.53,C02169,upi,Kolkata,0
cb1528bb,M009,2026-07-01 01:17:24,995.47,C04956,card,Pune,0
47c08a37,M015,2026-07-01 01:17:49,1287.64,C03215,card,Pune,0
0c963dff,M011,2026-07-01 01:18:01,1647.18,C02611,netbanking,Delhi,0
0f779088,M007,2026-07-01 01:18:24,1084.34,C03426,upi,Kolkata,0
45313fd3,M012,2026-07-01 01:19:18,816.12,C03735,netbanking,Pune,0
15d03e01,M006,2026-07-01 01:20:59,2423.15,C02541,wallet,Hyderabad,0
b17338d9,M009,2026-07-01 01:22:41,947.09,C03123,netbanking,Pune,0
1f636697,M010,2026-07-01 01:25:40,266.45,C02503,upi,Ahmedabad,0
0dce891a,M005,2026-07-01 01:28:06,1198.98,C02814,card,Chennai,0
50352356,M010,2026-07-01 01:28:16,10.0,C02856,card,Ahmedabad,0
5d37324e,M019,2026-07-01 01:29:24,2440.25,C04280,card,Mumbai,0
ba68f89d,M015,2026-07-01 01:31:45,1317.97,C03585,netbanking,Pune,0
7343031f,M010,2026-07-01 01:31:54,746.6,C04644,upi,Ahmedabad,0
2db4ea1e,M009,2026-07-01 01:35:37,1109.4,C01435,wallet,Pune,0
d3b0c1f1,M009,2026-07-01 01:36:41,954.3,C03274,netbanking,Pune,0
5badaeaa,M002,2026-07-01 01:39:05,1527.44,C03435,netbanking,Bangalore,0
74118c52,M019,2026-07-01 01:41:08,1695.07,C03945,upi,Mumbai,0
ce491a7c,M018,2026-07-01 01:41:22,1480.24,C00301,upi,Jaipur,0
a0ddb4c5,M005,2026-07-01 01:41:30,1461.33,C03041,card,Chennai,0
8b4f7859,M008,2026-07-01 01:42:07,390.2,C03813,netbanking,Pune,0
3a64c878,M010,2026-07-01 01:43:19,208.19,C02132,upi,Kolkata,0
075384d0,M014,2026-07-01 01:44:33,541.15,C03515,upi,Delhi,0
3937b613,M010,2026-07-01 01:48:46,902.38,C03616,upi,Ahmedabad,0
2aeda110,M019,2026-07-01 01:49:12,2771.5,C00759,wallet,Mumbai,0
c789ab13,M011,2026-07-01 01:51:30,1333.18,C04338,netbanking,Delhi,0
bfda7725,M019,2026-07-01 01:53:33,2661.71,C02453,netbanking,Mumbai,0
930bd780,M012,2026-07-01 01:54:18,852.37,C02951,netbanking,Pune,0
06aa5b33,M006,2026-07-01 01:55:41,2363.08,C02720,netbanking,Hyderabad,0
1d4fa447,M002,2026-07-01 01:57:22,2403.25,C01721,upi,Bangalore,0
0b116d3d,M013,2026-07-01 01:57:36,2682.75,C01204,card,Chennai,0
311b0f08,M012,2026-07-01 01:59:24,869.64,C03175,wallet,Pune,0
e6f5eb5f,M020,2026-07-01 02:00:26,10.0,C00801,card,Kolkata,0
cf37f5c4,M002,2026-07-01 02:00:29,2204.46,C04613,card,Chennai,0
149472ae,M010,2026-07-01 02:01:04,1509.8,C01620,wallet,Ahmedabad,0
7f9eb6b0,M005,2026-07-01 02:01:16,1503.55,C01767,upi,Chennai,0
01084b6e,M010,2026-07-01 02:02:58,414.9,C01897,wallet,Ahmedabad,0
187e4ddb,M018,2026-07-01 02:03:06,2792.71,C03416,upi,Jaipur,0
cbfc1353,M020,2026-07-01 02:04:36,469.66,C02053,wallet,Ahmedabad,0
5d36b829,M014,2026-07-01 02:05:10,538.65,C02815,upi,Delhi,0
5d3be612,M017,2026-07-01 02:07:47,1449.73,C00447,upi,Chennai,0
a604578b,M009,2026-07-01 02:07:53,953.3,C01161,netbanking,Pune,0
2362100a,M012,2026-07-01 02:08:39,957.1,C03553,wallet,Pune,0
30c63057,M004,2026-07-01 02:09:48,1717.51,C01849,wallet,Chennai,0
630d3190,M003,2026-07-01 02:10:00,1469.22,C03347,wallet,Delhi,0
afd3540f,M009,2026-07-01 02:10:27,1035.85,C02261,wallet,Pune,0
9fc1238e,M015,2026-07-01 02:11:08,1292.91,C02373,card,Pune,0
65e95779,M013,2026-07-01 02:14:24,3577.87,C03158,upi,Chennai,0
7b5fa722,M015,2026-07-01 02:15:10,1507.27,C04096,card,Pune,0
6042051c,M009,2026-07-01 02:17:09,974.16,C03113,upi,Pune,0
c3e24333,M020,2026-07-01 02:17:49,10.0,C00512,wallet,Kolkata,0
4d69520e,M003,2026-07-01 02:18:14,1436.99,C03313,upi,Delhi,0
a14628c0,M013,2026-07-01 02:18:42,2995.88,C00552,netbanking,Vellore,0
2072db0a,M005,2026-07-01 02:19:29,1752.15,C03703,card,Hyderabad,0
97681fb3,M005,2026-07-01 02:19:35,1072.1,C03086,netbanking,Chennai,0
88428ae2,M011,2026-07-01 02:21:10,1005.17,C03076,upi,Delhi,0
80ef8507,M009,2026-07-01 02:22:35,1109.28,C00763,netbanking,Pune,0
4843fb43,M012,2026-07-01 02:22:59,837.24,C04120,card,Pune,0
d52f0e29,M005,2026-07-01 02:23:14,940.5,C00231,netbanking,Chennai,0
5c323afb,M009,2026-07-01 02:23:16,1228.35,C02021,wallet,Pune,0
051bd4e0,M011,2026-07-01 02:25:57,1157.52,C00285,upi,Delhi,0
d060e872,M005,2026-07-01 02:27:06,1026.07,C03053,upi,Chennai,0
02dce442,M019,2026-07-01 02:27:25,2974.64,C01467,wallet,Mumbai,0
1d272b9c,M007,2026-07-01 02:28:11,930.06,C03647,card,Kolkata,0
c670e210,M016,2026-07-01 02:29:51,1944.2,C00498,netbanking,Hyderabad,0
2959867d,M009,2026-07-01 02:31:54,942.2,C03555,netbanking,Pune,0
bfc2721a,M019,2026-07-01 02:31:56,2975.74,C01947,netbanking,Mumbai,0
c1bb51bc,M005,2026-07-01 02:32:40,1534.82,C00935,upi,Chennai,0
24eb2e66,M003,2026-07-01 02:32:41,1558.79,C02796,card,Delhi,0
caaa92bd,M013,2026-07-01 02:32:41,3126.41,C02301,upi,Chennai,0
87fea6e7,M013,2026-07-01 02:33:16,2938.59,C03083,upi,Chennai,0
7eaaf1df,M014,2026-07-01 02:38:02,1125.73,C03149,wallet,Delhi,0
ae2fecd2,M020,2026-07-01 02:40:29,32.39,C02265,wallet,Kolkata,0
7aefc839,M009,2026-07-01 02:41:54,959.06,C00260,card,Pune,0
c55efdc3,M005,2026-07-01 02:41:55,1254.27,C00740,wallet,Chennai,0
cf1dcdbe,M014,2026-07-01 02:41:59,563.91,C03194,netbanking,Delhi,0
7f919273,M003,2026-07-01 02:42:58,1434.62,C02705,netbanking,Delhi,0
6a0135b6,M010,2026-07-01 02:45:06,905.39,C00009,upi,Ahmedabad,0
97222f8c,M017,2026-07-01 02:46:24,1297.0,C04266,upi,Chennai,0
02eafb87,M010,2026-07-01 02:46:51,356.16,C00840,card,Ahmedabad,0
6bea92a5,M012,2026-07-01 02:48:31,757.77,C02627,upi,Pune,0
ba792b36,M001,2026-07-01 02:48:34,2212.11,C01031,upi,Delhi,0
8b851d78,M019,2026-07-01 02:50:19,2654.41,C04365,wallet,Mumbai,0
